Topic,Word,Probability
0,morphology,0.0199703705452
0,naturalists,0.0179045719074
0,methods,0.0142648314505
0,natural history,0.0119039187216
0,problems,0.00905114917425
0,descriptive,0.00855929235573
0,naturalist,0.00806743553722
0,change,0.00777232144612
0,experimental,0.00767395008241
0,american biology,0.0072804646276
0,experimentalists,0.0071820932639
0,biologists,0.0070837219002
0,biol,0.00570652280837
0,dichotomy,0.00570652280837
0,embryology,0.00550978008096
0,maienschein,0.00550978008096
0,morphological,0.00541140871726
0,evolutionary,0.00541140871726
0,tradition,0.00531303735356
0,historical,0.00531303735356
0,morphologists,0.00511629462615
0,garland allen,0.00491955189875
0,experimental biology,0.00472280917135
0,century,0.00462443780764
0,jane maienschein,0.00462443780764
0,revolutionary,0.00452606644394
0,twentieth century,0.00432932371654
0,revolution,0.00432932371654
0,period,0.00413258098913
0,historians,0.00393583826173
0,experimentation,0.00393583826173
0,areas,0.00383746689803
0,revolt from morphology,0.00373909553432
0,disciplines,0.00373909553432
0,paleontology,0.00364072417062
0,questions,0.00364072417062
0,benson,0.00354235280692
0,method,0.00354235280692
0,j hist,0.00334561007951
0,ronald rainger,0.00324723871581
0,perceived,0.00314886735211
0,coleman,0.00314886735211
0,keith benson,0.00305049598841
0,turn,0.00305049598841
0,methodology,0.00295212462471
0,experimentalist,0.00295212462471
0,approaches,0.002853753261
0,older,0.002853753261
0,dichotomies,0.002853753261
0,rainger,0.002853753261
0,revolt,0.0027553818973
0,changes,0.0026570105336
0,naturalist tradition,0.0025586391699
0,speculative,0.00246026780619
0,life sciences,0.00246026780619
0,experimental methods,0.00236189644249
0,methodologies,0.00236189644249
0,experimentalism,0.00226352507879
0,assumptions,0.00226352507879
0,garland e allen,0.00226352507879
0,experi mental,0.00226352507879
0,physiologists,0.00216515371509
0,fields,0.00216515371509
0,traditions,0.00216515371509
0,physiology,0.00216515371509
0,continua,0.00216515371509
0,historian,0.00206678235138
0,myth,0.00196841098768
0,wilson,0.00196841098768
0,sought,0.00196841098768
0,introduction,0.00187003962398
0,description,0.00177166826028
0,transformation,0.00177166826028
0,comparative anatomy,0.00177166826028
0,keith r benson,0.00177166826028
0,methodological,0.00177166826028
0,thomas hunt morgan,0.00167329689658
0,america,0.00167329689658
0,nyhart,0.00167329689658
0,t h morgan,0.00167329689658
0,americans,0.00167329689658
0,changed,0.00167329689658
0,american,0.00167329689658
0,papers,0.00157492553287
0,enterprise,0.00157492553287
0,morphological tradition,0.00157492553287
0,myths,0.00157492553287
0,russell,0.00157492553287
0,phenotype,0.00157492553287
0,my critics,0.00157492553287
0,continuity,0.00157492553287
0,response,0.00147655416917
0,concern with,0.00147655416917
0,genotype,0.00147655416917
